Year,Period,Metric,Value,Currency,,,,
2024,Q4,Operating working capital ,326.5,MEUR,,,,
2024,Q4,Cash flow from operating activities,63.6,MEUR,,,,
2024,Q4,Free cash flow,42.7,MEUR,,,,
2024,Q4,Free cash flow per diluted share,0.25,MEUR,,,,
2024,Q4,Cash and cash equivalents,486.7,MEUR,,,,
2023,Q4,Operating working capital ,401.6,MEUR,,,,
2023,Q4,Cash flow from operating activities,92.1,MEUR,,,,
2023,Q4,Free cash flow,33,MEUR,,,,
2023,Q4,Free cash flow per diluted share,0.19,MEUR,,,,
2023,Q4,Cash and cash equivalents,433.1,MEUR,,,,
2024,FY,Operating working capital ,326.5,MEUR,,,,
2024,FY,Cash flow from operating activities,239.3,MEUR,,,,
2024,FY,Free cash flow,73.2,MEUR,,,,
2024,FY,Free cash flow per diluted share,0.42,MEUR,,,,
2024,FY,Cash and cash equivalents,486.7,MEUR,,,,
2023,FY,Operating working capital ,401.6,MEUR,,,,
2023,FY,Cash flow from operating activities,383.8,MEUR,,,,
2023,FY,Free cash flow,78,MEUR,,,,
2023,FY,Free cash flow per diluted share,0.44,MEUR,,,,
2023,FY,Cash and cash equivalents,433.1,MEUR,,,,
