Year,Period,Region,Business_Type,Metric,Value,Currency,Metric_Type,
2024,Q4,Group,Meal Kits,Revenue,1284.7,MEUR,Absolute,
2024,Q4,Group,RTE,Revenue,491.8,MEUR,Absolute,
2024,Q4,Group,Others,Revenue,32,MEUR,Absolute,
2024,Q4,Group,Meal Kits,Revenue (CC),1277.2,MEUR,Absolute,
2024,Q4,Group,RTE,Revenue (CC),489.5,MEUR,Absolute,
2024,Q4,Group,Others,Revenue (CC),31.8,MEUR,Absolute,
2024,Q4,Group,Meal kits,AEBITDA,181.3,MEUR,Absolute,
2024,Q4,Group,RTE ,AEBITDA,26,MEUR,Absolute,
2024,Q4,Group,Others ,AEBITDA,3.1,MEUR,Absolute,
2024,Q4,Group,Holding,AEBITDA,39.8,MEUR,Absolute,
2024,Q4,Group,Meal kits,AEBITDA (in % of revenue),0.14,MEUR,Percentage,
2024,Q4,Group,RTE ,AEBITDA (in % of revenue),0.05,MEUR,Percentage,
2024,Q4,Group,Others ,AEBITDA (in % of revenue),0.1,MEUR,Percentage,
2024,Q4,Group,Meal kits,AEBIT (excl. impairment),136.3,MEUR,Absolute,
2024,Q4,Group,RTE ,AEBIT (excl. impairment),16.8,MEUR,Absolute,
2024,Q4,Group,Others ,AEBIT (excl. impairment),3.1,MEUR,Absolute,
2024,Q4,Group,Holding,AEBIT (excl. impairment),54.8,MEUR,Absolute,
2024,Q4,Group,Meal Kits,AEBIT (excl. impairment) (in % of revenue),0.11,MEUR,Percentage,
2024,Q4,Group,RTE,AEBIT (excl. impairment) (in % of revenue),0.03,MEUR,Percentage,
2024,Q4,Group,Others,AEBIT (excl. impairment) (in % of revenue),0.1,MEUR,Percentage,
2023,Q4,Group,Meal Kits,Revenue,1458.1,MEUR,Absolute,
2023,Q4,Group,RTE,Revenue,384.6,MEUR,Absolute,
2023,Q4,Group,Others,Revenue,16.3,MEUR,Absolute,
2023,Q4,Group,Meal Kits,Revenue (CC),1458.1,MEUR,Absolute,
2023,Q4,Group,RTE,Revenue (CC),384.6,MEUR,Absolute,
2023,Q4,Group,Others,Revenue (CC),16.3,MEUR,Absolute,
2023,Q4,Group,Meal kits,AEBITDA,166.6,MEUR,Absolute,
2023,Q4,Group,RTE ,AEBITDA,16.3,MEUR,Absolute,
2023,Q4,Group,Others ,AEBITDA,3.4,MEUR,Absolute,
2023,Q4,Group,Holding,AEBITDA,33.2,MEUR,Absolute,
2023,Q4,Group,Meal kits,AEBITDA (in % of revenue),0.11,MEUR,Percentage,
2023,Q4,Group,RTE ,AEBITDA (in % of revenue),0.04,MEUR,Percentage,
2023,Q4,Group,Others ,AEBITDA (in % of revenue),0.21,MEUR,Percentage,
2023,Q4,Group,Meal kits,AEBIT (excl. impairment),123.7,MEUR,Absolute,
2023,Q4,Group,RTE ,AEBIT (excl. impairment),24.1,MEUR,Absolute,
2023,Q4,Group,Others ,AEBIT (excl. impairment),3.4,MEUR,Absolute,
2023,Q4,Group,Holding,AEBIT (excl. impairment),46.5,MEUR,Absolute,
2023,Q4,Group,Meal Kits,AEBIT (excl. impairment) (in % of revenue),0.09,MEUR,Percentage,
2023,Q4,Group,RTE,AEBIT (excl. impairment) (in % of revenue),0.06,MEUR,Percentage,
2023,Q4,Group,Others,AEBIT (excl. impairment) (in % of revenue),0.21,MEUR,Percentage,
2024,FY,Group,Meal Kits,Revenue,5529.2,MEUR,Absolute,
2024,FY,Group,RTE,Revenue,2031.7,MEUR,Absolute,
2024,FY,Group,Others,Revenue,100.4,MEUR,Absolute,
2024,FY,Group,Meal Kits,Revenue (CC),5528.6,MEUR,Absolute,
2024,FY,Group,RTE,Revenue (CC),2035.8,MEUR,Absolute,
2024,FY,Group,Others,Revenue (CC),100.4,MEUR,Absolute,
2024,FY,Group,Meal kits,AEBITDA,542.3,MEUR,Absolute,
2024,FY,Group,RTE ,AEBITDA,31.6,MEUR,Absolute,
2024,FY,Group,Others ,AEBITDA,19.4,MEUR,Absolute,
2024,FY,Group,Holding,AEBITDA,155,MEUR,Absolute,
2024,FY,Group,Meal kits,AEBITDA (in % of revenue),0.1,MEUR,Percentage,
2024,FY,Group,RTE ,AEBITDA (in % of revenue),0.02,MEUR,Percentage,
2024,FY,Group,Others ,AEBITDA (in % of revenue),0.19,MEUR,Percentage,
2024,FY,Group,Meal kits,AEBIT (excl. impairment),365.3,MEUR,Absolute,
2024,FY,Group,RTE ,AEBIT (excl. impairment),2.8,MEUR,Absolute,
2024,FY,Group,Others ,AEBIT (excl. impairment),19.4,MEUR,Absolute,
2024,FY,Group,Holding,AEBIT (excl. impairment),207.2,MEUR,Absolute,
2024,FY,Group,Meal kits,AEBIT (excl. impairment) (in % of revenue),0.07,MEUR,Percentage,
2024,FY,Group,RTE ,AEBIT (excl. impairment) (in % of revenue),0,MEUR,Percentage,
2024,FY,Group,Others ,AEBIT (excl. impairment) (in % of revenue),0.19,MEUR,Percentage,
2023,FY,Group,Meal Kits,Revenue,6111.2,MEUR,Absolute,
2023,FY,Group,RTE,Revenue,1439.2,MEUR,Absolute,
2023,FY,Group,Others,Revenue,46.1,MEUR,Absolute,
2023,FY,Group,Meal Kits,Revenue (CC),6111.2,MEUR,Absolute,
2023,FY,Group,RTE,Revenue (CC),1439.2,MEUR,Absolute,
2023,FY,Group,Others,Revenue (CC),46.1,MEUR,Absolute,
2023,FY,Group,Meal kits,AEBITDA,550.6,MEUR,Absolute,
2023,FY,Group,RTE ,AEBITDA,57,MEUR,Absolute,
2023,FY,Group,Others ,AEBITDA,15.1,MEUR,Absolute,
2023,FY,Group,Holding,AEBITDA,145,MEUR,Absolute,
2023,FY,Group,Meal kits,AEBITDA (in % of revenue),0.09,MEUR,Percentage,
2023,FY,Group,RTE ,AEBITDA (in % of revenue),0.04,MEUR,Percentage,
2023,FY,Group,Others ,AEBITDA (in % of revenue),0.33,MEUR,Percentage,
2023,FY,Group,Meal kits,AEBIT (excl. impairment),393.7,MEUR,Absolute,
2023,FY,Group,RTE ,AEBIT (excl. impairment),34.4,MEUR,Absolute,
2023,FY,Group,Others ,AEBIT (excl. impairment),15.1,MEUR,Absolute,
2023,FY,Group,Holding,AEBIT (excl. impairment),186.3,MEUR,Absolute,
2023,FY,Group,Meal Kits,AEBIT (excl. impairment) (in % of revenue),0.06,MEUR,Percentage,
