 Metric ,2024 (MEUR),2023 (MEUR)
Revenue ,7661.3,7596.6
Procurement and cooking expenses ,2883.1,2675.6
Fulfilment expenses ,3017.6,2910.7
Marketing expenses ,1455,1440.5
General and administrative expenses ,424.9,411
Other operating income ,15.4,17.9
Other operating expenses ,26,14.6
Loss allowance on trade receivables ,47.2,49.6
Operating profit/(loss),177.1,112.5
Interest income ,12.9,7.6
Interest expense ,38.6,35.3
Other finance income ,27.8,6
Other finance expense,4.4,17.5
Profit / (loss) before income tax,179.4,73.3
Income tax,42.3,55.2
Profit / (loss) for the year ,137.1,18.1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
