Year ,Period,Region ,Metric,Value ,Currency ,Note
2024,Q4,Group ,Number of orders,26.29,MEUR,
2024,Q4,Group ,Meals,220.7,MEUR,
2024,Q4,Group ,Average order value,68.4,MEUR,
2024,Q4,Group ,Average order value constant currency,68,MEUR,
2023,Q4,Group ,Number of orders,28.47,MEUR,
2023,Q4,Group ,Meals,240,MEUR,
2023,Q4,Group ,Average order value,65,MEUR,
2023,Q4,Group ,Average order value constant currency,65,MEUR,
2024,FY,Group ,Number of orders,114.63,MEUR,
2024,FY,Group ,Meals,965.5,MEUR,
2024,FY,Group ,Average order value,66.5,MEUR,
2024,FY,Group ,Average order value constant currency,66.5,MEUR,
2023,FY,Group ,Number of orders,119.27,MEUR,
2023,FY,Group ,Meals,1008.7,MEUR,
2023,FY,Group ,Average order value,63.4,MEUR,
2023,FY,Group ,Average order value constant currency,63.4,MEUR,
2024,Q4,North america,Number of orders,14.17,MEUR,
2024,Q4,North america,Meals,110.2,MEUR,
2024,Q4,North america,Average order value,81.5,MEUR,
2024,Q4,North america,Average order value constant currency,81.2,MEUR,
2023,Q4,North america,Number of orders,15.74,MEUR,
2023,Q4,North america,Meals,125,MEUR,
2023,Q4,North america,Average order value,76.3,MEUR,
2023,Q4,North america,Average order value constant currency,76.3,MEUR,
2024,FY,North america,Number of orders,64.47,MEUR,
2024,FY,North america,Meals,511.1,MEUR,
2024,FY,North america,Average order value,77.9,MEUR,
2024,FY,North america,Average order value constant currency,78.1,MEUR,
2023,FY,North america,Number of orders,67.78,MEUR,
2023,FY,North america,Meals,542.5,MEUR,
2023,FY,North america,Average order value,73.8,MEUR,
2023,FY,North america,Average order value constant currency,73.8,MEUR,
2024,Q4,International,Number of orders,12.11,MEUR,
2024,Q4,International,Meals,110.5,MEUR,
2024,Q4,International,Average order value,53.1,MEUR,
2024,Q4,International,Average order value constant currency,52.6,MEUR,
2023,Q4,International,Number of orders,12.72,MEUR,
2023,Q4,International,Meals,115,MEUR,
2023,Q4,International,Average order value,51,MEUR,
2023,Q4,International,Average order value constant currency,51,MEUR,
2024,FY,International,Number of orders,49.96,MEUR,
2024,FY,International,Meals,454.4,MEUR,
2024,FY,International,Average order value,51.8,MEUR,
2024,FY,International,Average order value constant currency,51.6,MEUR,
2023,FY,International,Number of orders,51.46,MEUR,
2023,FY,International,Meals,466.2,MEUR,
2023,FY,International,Average order value,49.7,MEUR,
2023,FY,International,Average order value constant currency,49.7,MEUR,
