Year ,Metric,Land & Buildings,Plant & Machinery,ROU Assets (Land & Buildings),ROU Assets (Vehicles & Others),Furniture & Equipment,Assets Under Construction,Total (MEUR)
2024,Additions,0,46.3,133.2,20.6,22.7,40.4,263.2
2024,Disposals,0,10.5,27,8,7.6,0.5,53.6
2024,Impairments,0,71,57.8,4.8,11.5,35.8,180.9
2024,"Carrying Amount Jan 1, 2024",6.7,495.2,425.5,79.3,99.7,192.5,1298.9
2024,"Carrying Amount Dec 31, 2024",6.9,473.2,441.1,64.2,85.9,130,1201.3
2024,Net Change in PPE,0.2,22,15.6,15.1,13.8,62.5,97.6
2023,Additions,0,68.1,74.5,66.5,40.2,114.1,363.4
2023,Disposals,0,3.1,16.4,5.7,2.2,0.4,27.8
2023,Impairments,0,6.5,0.3,0,1.5,0.5,8.8
2023,"Carrying Amount Jan 1, 2023",7.2,259.1,436.8,35.3,84.9,342.5,1165.8
2023,"Carrying Amount Dec 31, 2023",6.7,495.2,425.5,79.3,99.7,192.5,1298.9
2023,Net Change in PPE,0.5,236.1,11.3,44,14.8,150,133.1
