Metric,Region,2024,2023,YoY %
Revenue (Total),North America,5077.1,5039.4,0.7
Procurement & Cooking Expenses,North America,1873.1,1668.6,12.3
Fulfilment Expenses,North America,1983,1934.8,2.5
Contribution Margin,North America,1221,1435.9,-15
Marketing Expenses,North America,1017.9,997.4,2.1
G&A + Other Operating Expenses,North America,195.7,338.8,42.2
EBIT,North America,7.4,99.6,92.6
Depreciation & Amortization,North America,289.4,104.6,176.7
EBITDA,North America,288.4,354.2,18.6
AEBITDA,North America,368.8,417.4,11.6
AEBIT,North America,79.4,312.7,74.6
Revenue (Total),International,2663.2,2621.9,1.6
Procurement & Cooking Expenses,International,1014.4,1007,0.7
Fulfilment Expenses,International,1040.3,980.1,6.1
Contribution Margin,International,608.5,634.9,4.2
Marketing Expenses,International,417.5,428.2,2.5
G&A + Other Operating Expenses,International,177.2,185.3,4.4
EBIT,International,13.9,21.4,35
Depreciation & Amortization ,International,103.5,84.6,22.3
EBITDA,International,169,162.3,4.1
AEBITDA,International,186.8,175.3,6.6
AEBIT,International,83.3,90.8,8.3
