Year ,Period,Region ,Metric,Value ,Value type,
2024,Q4,Group,Revenue (in MEUR) ,1808.50,absolute ,
2024,Q4,Group,Revenue constant currency (in MEUR) ,1798.50,absolute ,
2024,Q4,Group,Contribution margin 1 (in MEUR) ,357.20,absolute ,
2024,Q4,Group,Contribution margin 1 (in % of revenue) ,0.20,percentage ,
2024,Q4,Group,Contribution margin 1 (excl. impairment) (in MEUR) ,490.20,absolute ,
2024,Q4,Group,Contribution margin 1 (excl. impairment) (in % of revenue) ,0.27,percentage ,
2024,Q4,Group,AEBITDA (in MEUR) ,164.30,absolute ,
2024,Q4,Group,AEBITDA (in % of revenue) ,0.09,percentage ,
2024,Q4,Group,AEBIT (excl. impairment) (in MEUR) ,95.20,absolute ,
2024,Q4,Group,AEBIT (excl. impairment) (in % of revenue),0.05,percentage ,
2023,Q4,Group,Revenue (in MEUR) ,1859.00,absolute ,
2023,Q4,Group,Revenue constant currency (in MEUR) ,1859.00,absolute ,
2023,Q4,Group,Contribution margin 1 (in MEUR) ,503.20,absolute ,
2023,Q4,Group,Contribution margin 1 (in % of revenue) ,0.27,percentage ,
2023,Q4,Group,Contribution margin 1 (excl. impairment) (in MEUR) ,505.20,absolute ,
2023,Q4,Group,Contribution margin 1 (excl. impairment) (in % of revenue) ,0.27,percentage ,
2023,Q4,Group,AEBITDA (in MEUR) ,113.60,absolute ,
2023,Q4,Group,AEBITDA (in % of revenue) ,0.06,percentage ,
2023,Q4,Group,AEBIT (excl. impairment) (in MEUR) ,49.70,absolute ,
2023,Q4,Group,AEBIT (excl. impairment) (in % of revenue),0.03,percentage ,
2024,FY,Group,Revenue (in MEUR) ,7661.30,absolute ,
2024,FY,Group,Revenue constant currency (in MEUR) ,7664.80,absolute ,
2024,FY,Group,Contribution margin 1 (in MEUR) ,1793.40,absolute ,
2024,FY,Group,Contribution margin 1 (in % of revenue) ,0.23,percentage ,
2024,FY,Group,Contribution margin 1 (excl. impairment) (in MEUR) ,1974.90,absolute ,
2024,FY,Group,Contribution margin 1 (excl. impairment) (in % of revenue) ,0.26,percentage ,
2024,FY,Group,AEBITDA (in MEUR) ,399.40,absolute ,
2024,FY,Group,AEBITDA (in % of revenue) ,0.05,percentage ,
2024,FY,Group,AEBIT (excl. impairment) (in MEUR) ,135.90,absolute ,
2024,FY,Group,AEBIT (excl. impairment) (in % of revenue),0.02,percentage ,
2023,FY,Group,Revenue (in MEUR) ,7596.60,absolute ,
2023,FY,Group,Revenue constant currency (in MEUR) ,7596.60,absolute ,
2023,FY,Group,Contribution margin 1 (in MEUR) ,2040.60,absolute ,
2023,FY,Group,Contribution margin 1 (in % of revenue) ,0.27,percentage ,
2023,FY,Group,Contribution margin 1 (excl. impairment) (in MEUR) ,2050.30,absolute ,
2023,FY,Group,Contribution margin 1 (excl. impairment) (in % of revenue) ,0.27,percentage ,
2023,FY,Group,AEBITDA (in MEUR) ,447.60,absolute ,
2023,FY,Group,AEBITDA (in % of revenue) ,0.06,percentage ,
2023,FY,Group,AEBIT (excl. impairment) (in MEUR) ,226.70,absolute ,
2023,FY,Group,AEBIT (excl. impairment) (in % of revenue),0.03,percentage ,
2024,Q4,North america,Revenue (in MEUR) ,1154.70,absolute ,
2024,Q4,North america,Revenue constant currency (in MEUR) ,1150.80,absolute ,
2024,Q4,North america,Contribution margin 1 (in MEUR) ,228.80,absolute ,
2024,Q4,North america,Contribution margin 1 (in % of revenue) ,0.20,percentage ,
2024,Q4,North america,Contribution margin 1 (excl. impairment) (in MEUR) ,352.80,absolute ,
2024,Q4,North america,Contribution margin 1 (excl. impairment) (in % of revenue) ,0.30,percentage ,
2024,Q4,North america,AEBITDA (in MEUR) ,136.30,absolute ,
2024,Q4,North america,AEBITDA (in % of revenue) ,0.12,percentage ,
2024,Q4,North america,AEBIT (excl. impairment) (in MEUR) ,106.20,absolute ,
2024,Q4,North america,AEBIT (excl. impairment) (in % of revenue),0.09,percentage ,
2023,Q4,North america,Revenue (in MEUR) ,1201.00,absolute ,
2023,Q4,North america,Revenue constant currency (in MEUR) ,1201.00,absolute ,
2023,Q4,North america,Contribution margin 1 (in MEUR) ,344.80,absolute ,
2023,Q4,North america,Contribution margin 1 (in % of revenue) ,0.29,percentage ,
2023,Q4,North america,Contribution margin 1 (excl. impairment) (in MEUR) ,346.40,absolute ,
2023,Q4,North america,Contribution margin 1 (excl. impairment) (in % of revenue) ,0.29,percentage ,
2023,Q4,North america,AEBITDA (in MEUR) ,87.90,absolute ,
2023,Q4,North america,AEBITDA (in % of revenue) ,0.07,percentage ,
2023,Q4,North america,AEBIT (excl. impairment) (in MEUR) ,58.40,absolute ,
2023,Q4,North america,AEBIT (excl. impairment) (in % of revenue),0.05,percentage ,
2024,FY,North america,Revenue (in MEUR) ,5035.80,absolute ,
2024,FY,North america,Revenue constant currency (in MEUR) ,5035.80,absolute ,
2024,FY,North america,Contribution margin 1 (in MEUR) ,1245.70,absolute ,
2024,FY,North america,Contribution margin 1 (in % of revenue) ,0.25,percentage ,
2024,FY,North america,Contribution margin 1 (excl. impairment) (in MEUR) ,1415.00,absolute ,
2024,FY,North america,Contribution margin 1 (excl. impairment) (in % of revenue) ,0.28,percentage ,
2024,FY,North america,AEBITDA (in MEUR) ,368.80,absolute ,
2024,FY,North america,AEBITDA (in % of revenue) ,0.07,percentage ,
2024,FY,North america,AEBIT (excl. impairment) (in MEUR) ,248.70,absolute ,
