Year,Region, Metric,Total Value (MEUR)
2024,Group,Revenue from direct-to-consumer sales,"7,574.80"
2024,Group,Other ,86.5
2024,North america,Revenue from direct-to-consumer sales,"5,008.00"
2024,North america,Other ,26.9
2024,International,Revenue from direct-to-consumer sales,"2,566.00"
2024,International,Other ,59.6
2023,Group,Revenue from direct-to-consumer sales,"7,521.50"
2023,Group,Other ,75.1
2023,North america,Revenue from direct-to-consumer sales,"4,975.70"
2023,North america,Other ,27.1
2023,International,Revenue from direct-to-consumer sales,"2,545.80"
2023,International,Other ,48
